"Gene_Name","Gene_ID","Gene_Description","Chromosome","Aliases","Pubmed_ID","Homologene_ID","int_protein"
"C20orf32","25927","CNRIP1 cannabinoid receptor interacting protein 1","2","CRIP1; C2orf32; DKFZp566K1924","17043662","9153","NA"
"C8A","731","C8A complement component 8; alpha polypeptide","1","C8A","15604243","472","C8B,C8G,C9,CD59"
"CAPG","822","CAPG capping protein (actin filament); gelsolin-like","2","MCP; AFCP; CAPG","18949382","37523","NCAPH"
"CAPZA1","829","CAPZA1 capping protein (actin filament) muscle Z-line; alpha 1","1","CAPZ; CAZ1; CAPPA1; CAPZA1","18949382","24376","ACTB,CD2AP,S100A1,S100B,SH3KBP1"
"CASC2","255082","cancer susceptibility candidate 2","10","C10orf5; MGC117219","18949382","0","NA"
"CASP3","836","CASP3 caspase 3; apoptosis-related cysteine peptidase","4","CPP32; SCA-1; CPP32B; CASP3","19531679","37912","ACIN1,ADD1,AIFM1,AKAP8,AKT1,APAF1,APP,AR,ARHGDIB,ATN1,BCAP31,BCAR1,BCL2,BID,BIRC2,BIRC3,BIRC5,BIRC6,BIRC7,BLM,BMX,BRCA1,CAD,CASP10,CASP3,CASP4,CASP6,CASP8,CASP9,CAST,CDC27,CDC2L2,CDC42,CDH1,CDK11B,CDKN1A,CFLAR,CTNNB1,DCC,DCTN1,DEDD,DFFA,DSG3,EIF2AK2,EIF2S1,EIF3J,EIF4B,EIF4G2,FYN,GATA1,GOLGA3,GORASP1,GRIPAP1,GSN,GZMB,HCLS1,HIP1,HMGB1,HNRNPU,HSPD1,HSPE1,HTT,IL16,IL18,KCNIP3,KRT18,LMNB1,LYN,MAP4K1,MAPK8IP3,MAPT,MCL1,MDM2,MDM4,MEF2A,MET,MLH1,MYL3,NEDD4,NFE2L2,NMT2,PAK2,PARG,PDE10A,PDE5A,PICALM,PIP5K1A,PKN1,PKN2,PLA2G4A,PPP3CA,PRKCQ,PRKCZ,PRKDC,PSEN1,PSEN2,PSIP1,PSME3,PTBP1,PTMA,PXN,RABEP1,RAC1,RAD51,RASA1,RB1,RFC1,ROCK1,SARS2,SLK,SP1,SPTAN1,SREBF2,SRF,SRP72,STK24,STK3,STK4,TFAP2A,TGM2,THAP11,TOP1,TRAF1,TRAF3,UBE4B,USO1,VAV1,VIM,WEE1,XIAP,YWHAE"
"CASP7","840","CASP7 caspase 7; apoptosis-related cysteine peptidase","10","MCH3; CMH-1; ICE-LAP3; CASP7","19531679","11168","AR,BIRC2,BIRC3,BIRC5,BIRC7,CASP10,CASP2,CASP7,CAST,CDC42,CFLAR,CLSPN,CTSG,DCTN1,DFFA,DSP,EIF2AK2,GOLGA3,GORASP1,GZMB,HSPA5,KRT18,LYN,MAPT,MAX,MEF2A,MEF2D,NEDD4,PRKCZ,PSEN1,PSEN2,PSIP1,PSME3,PTMA,RAC1,RAD21,RAD51,RASA1,RB1,RNF7,SRF,STK24,TNFRSF1A,UBE4B,VIM,XIAP"
"CCL2","6347","chemokine (C-C motif) ligand 2","17","HC11; MCAF; MCP1; MCP-1; SCYA2; GDCF-2; SMC-CF; HSMCR30; MGC9434","20364004","2245","CCBP2,CCL2,CCR1,CCR10,CCR2,CCR5,CCRL1,DARC,MMP1,MMP3,MMP8,VCAN"
"CCL20","6364","CCL20 chemokine (C-C motif) ligand 20","2","CKb4; LARC; ST38; MIP3A; MIP-3a; SCYA20; CCL20","17043662","3375","CCR6,VCAN"
"CCNA2","890","CCNA2 cyclin A2","4","CCN1; CCNA; CCNA2","12073048","55562","BRCA1,BRCA2,BTG1,CDC20,CDC25C,CDC6,CDK1,CDK2,CDK3,CDKN1A,CDKN1B,CDT1,E2F1,E2F3,HERC5,HIRA,ITGB3BP,MYBL2,PGR,PTMA,RBL1,RBL2,SKP1,SKP2,TAF1,TP53,UBTF"
